row_type,experiment,baseline_id,success_count,N,success_rate_pp,wilson95_lo,wilson95_hi,clopper_pearson95_lo,clopper_pearson95_hi,death_count,death_rate_pp,floor3_count,floor3_reach_pp,mean_episode_length,evaluator_sha,world_set_hash,world_recipe_hash,checkpoint_sha,action_mode,evidence_level,source,recompute_matches_reported,delta_pp,discordant,A_only,B_only,mcnemar_p,bootstrap95_lo,bootstrap95_hi,ci_crosses_zero,signal,paired_comparison_allowed
arm,BASELINE,TEACHER17500_BASELINE,101,256,39.45312,33.6643,45.5537,33.4241,45.7294,147,57.4219,111,43.3594,985.55859375,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,d4e85af58b7f87d6,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,Control,CONTROL24576_BASELINE,93,256,36.32812,30.679,42.3815,30.4304,42.5465,156,60.9375,111,43.3594,861.9140625,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,ece6fa9962e815123ce947577a93040057bc9df0b1e686dd28424cb2bbdabf55,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,SG_Persistent_on,(non-baseline arm),110,256,42.96875,37.0528,49.0926,36.8222,49.28,142,55.4688,130,50.7812,795.80078125,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,1bd4fbfe91ab4da4,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,SG_Persistent_off,(non-baseline arm),112,256,43.75,37.8099,49.8749,37.5816,50.0648,141,55.0781,123,48.0469,877.16015625,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,see ablation_phase2.json section7,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,SG_Reset128_on,(non-baseline arm),114,256,44.53125,38.5686,50.6556,38.3425,50.848,137,53.5156,127,49.6094,921.0703125,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,2ffdd269b94e1e6b,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,SG_Reset128_off,(non-baseline arm),96,256,37.5,31.7955,43.5741,31.55,43.7431,155,60.5469,114,44.5312,932.9453125,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,see ablation_phase2.json section7,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,EM_Persistent_on,(non-baseline arm),96,256,37.5,31.7955,43.5741,31.55,43.7431,156,60.9375,112,43.75,959.55859375,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,11307081315f8059,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,EM_Persistent_off,(non-baseline arm),93,256,36.32812,30.679,42.3815,30.4304,42.5465,159,62.1094,107,41.7969,893.7578125,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,see ablation_phase2.json section7,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,EM_Reset128_on,(non-baseline arm),103,256,40.23438,34.4146,46.3429,34.1765,46.5211,148,57.8125,119,46.4844,887.16015625,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,a3030f387c2e8cbb,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,EM_Reset128_off,(non-baseline arm),95,256,37.10938,31.4229,43.177,31.1764,43.3446,159,62.1094,106,41.4062,807.1875,224514026aefd273a6647e055fc2e1a434760dc5f4b6b9acd0624bbba57035a1,REQUIRED(materialized; JAX-blocked),3377049f3e983bfeeacbb219e8c3be0e1d72966d4b1fe2ca72444caadbd1575e,see ablation_phase2.json section7,stochastic,MATCHED_CAUSAL_SCREEN (single-seed),"phase2_unified_eval.json (per-world, local)",True,,,,,,,,,,
arm,W512_Persistent_PPO,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,collapsed 28/256 aggregate only; per-world server-only,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,W512_Reset128_PPO,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,collapsed 7/256 aggregate only,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,W512_Persistent_P2Replay,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,90/256 aggregate only; evaluator f76bb53c,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,W512_Reset128_P2Replay,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,95/256 aggregate only; evaluator f76bb53c,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,P7_EgoMap,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,no per-world/params-SHA local; seed100000 line,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,P8_LongMem,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,NO_POSITIVE_SIGNAL; per-world server-only; 256w final + 64w migration,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,P9_AuthenticReset,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,P9_NO_POSITIVE_SIGNAL; per-world server-only; continuation text-only,NOT_RECOMPUTED (no per-world),,,,,,,,,,
arm,P2_FullA,n/a,UNVERIFIED,256,UNVERIFIED,n/a,n/a,n/a,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,see registry (line-specific),REQUIRED,seed-line dependent,server manifest,stochastic (declared; P7 has argmax dead code quarantined),EVIDENCE_UNVERIFIED,no formal per-world eval local,NOT_RECOMPUTED (no per-world),,,,,,,,,,
