canonical_id,name,official_tier_name,official_reward_weight,custom_depth_tier_design_layer,custom_source,rename_required,divergence_flag,notes
0,collect_wood,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
1,place_table,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
2,eat_cow,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
3,collect_sapling,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
4,collect_drink,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
5,make_wood_pickaxe,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
6,make_wood_sword,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
7,place_plant,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
8,defeat_zombie,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
9,collect_stone,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
10,place_stone,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
11,eat_plant,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
12,defeat_skeleton,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
13,make_stone_pickaxe,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
14,make_stone_sword,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
