slot_id,repeat,arm,model,provider,prompt_index,status,posts_used,initial_valid,final_valid,attempts,repair_requests,repair_success,empty_response,timeout,connection_error,http_4xx,http_5xx,invalid_json,extract_error,syntax_error,api_enum_error,inventory_error,dangerous_import,dangerous_capability,cpu_jax_error,duplicate_code,fatal_api_blocked,prompt_tokens,completion_tokens,cached_tokens,generation_wall_s,repair_wall_s,cpu_validation_wall_s,final_code_sha256
slot_r1_small_p00,1,small,qwen2.5-coder:14b,ollama,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,819,0,20.574661,0.0,25.922186,cec074a94e338b9c817ff4263a18dd952c3c8ef093dd141007f098b9a02b4031
slot_r1_small_p01,1,small,qwen2.5-coder:14b,ollama,1,lost_reconciled,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
slot_r1_small_p02,1,small,qwen2.5-coder:14b,ollama,2,lost_reconciled,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
slot_r1_small_p03,1,small,qwen2.5-coder:14b,ollama,3,lost_reconciled,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
slot_r1_small_p04,1,small,qwen2.5-coder:14b,ollama,4,lost_reconciled,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
slot_r1_small_p05,1,small,qwen2.5-coder:14b,ollama,5,lost_reconciled,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
slot_r1_small_p06,1,small,qwen2.5-coder:14b,ollama,6,completed,3,False,False,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,False,49158,3278,0,118.080798,79.092078,0.0,
slot_r1_small_p07,1,small,qwen2.5-coder:14b,ollama,7,completed,3,False,True,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,False,49158,2916,0,109.867124,73.439899,25.744168,82cb48a00fc71b1eaad3f0a259d293d1b342d5aa0760dce226c3cd9af21a8441
slot_r1_small_p08,1,small,qwen2.5-coder:14b,ollama,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,882,0,34.09525,0.0,25.14729,d498030040e6f5f947970c4c5efd425b51132f5cd9aa837844edd85f564f2c50
slot_r1_small_p09,1,small,qwen2.5-coder:14b,ollama,9,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1144,0,40.481686,0.0,25.96046,bd8c5aa87f370782bdd97aa812c705ae7e6be6c6b76cce9538d000b039116baa
slot_r1_small_p10,1,small,qwen2.5-coder:14b,ollama,10,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1139,0,40.389618,0.0,26.381535,1a3af667192fe906ca70a91d7ceffb3ebc855a3e8c4ce16f36de2747072dabbd
slot_r1_small_p11,1,small,qwen2.5-coder:14b,ollama,11,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1379,0,46.313117,0.0,26.740823,111a549d3e06ef087b4f79e566f5f2a9656147fa70d68240eed7aa7f0dffb0b1
slot_r1_large_p00,1,large,deepseek-v4-flash,deepseek_official,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59953,1974,59904,11.346157,0.0,25.639694,524af2bc795d1cc40fb9b0fe4e81aebf4ce8788dc9f004fe9b4aeabf3068c2bb
slot_r1_large_p01,1,large,deepseek-v4-flash,deepseek_official,1,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59968,2637,52864,13.939882,0.0,25.198196,afc00aba0f20d50abb8ef4b8bb94baf94a085cf659d91792cd4e3b3dec9eaf5b
slot_r1_large_p02,1,large,deepseek-v4-flash,deepseek_official,2,completed,2,False,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,132843,3154,117248,23.635046,16.186169,34.740608,c135f877803338564bd9eebda374449a1c81d80bba91f5c9f26c2f6b67549392
slot_r1_large_p03,1,large,deepseek-v4-flash,deepseek_official,3,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59902,2083,58624,14.037302,0.0,24.792528,65b87345c203ac1f8a46d0fc2fbe361adc864f1ec77ad0fe2ff7d315fb2fb179
slot_r1_large_p04,1,large,deepseek-v4-flash,deepseek_official,4,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60117,5530,58624,39.540915,0.0,25.856384,de6fda0bceb2384d8328efe8e955c6bcd95a98bafdc20c590c7ede8ca3e68cad
slot_r1_large_p05,1,large,deepseek-v4-flash,deepseek_official,5,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132060,12232,124800,115.055398,37.697308,24.208522,c7b8d9210a63d3f3279e38ffc2cdb582f6d2f7b756ea2f511aefa4f6d26f365a
slot_r1_large_p06,1,large,deepseek-v4-flash,deepseek_official,6,completed,3,False,True,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False,204515,15991,202624,127.562858,69.903097,32.840699,4e70f7da011e790e9b7a565435b465a76e1333b462ac95353f41e2f4166cf09b
slot_r1_large_p07,1,large,deepseek-v4-flash,deepseek_official,7,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132079,11454,130688,95.899141,24.971325,24.141844,5ce2bdd75f05b433011f2b6bbeeb8e67fb0753a95abf616c654871c8f9a2c9b0
slot_r1_large_p08,1,large,deepseek-v4-flash,deepseek_official,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60000,6623,58624,38.302467,0.0,25.291961,0f586d0f8c6fbc2b01d210b8a53f7ad86cb81d7edb8ba2957bfe66e386eb0cfa
slot_r1_large_p09,1,large,deepseek-v4-flash,deepseek_official,9,completed,3,False,True,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,False,204189,22436,202752,177.443939,111.872186,24.922301,2df750981a2c800fbd0330deb5828155ba3918a9e2d8da6bec4975ff166b5094
slot_r1_large_p10,1,large,deepseek-v4-flash,deepseek_official,10,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132155,12677,130688,90.608908,33.412539,24.511915,6d94dc7d97e80909aa3ee049e62d3d3899274183a6ea05e9a28e9abc69f1c661
slot_r1_large_p11,1,large,deepseek-v4-flash,deepseek_official,11,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132207,15616,130688,112.20355,54.535742,24.836384,e84c245701a8343fb614c0d5c015009ee837c028fc947dc1fe7e072c12ead8d5
slot_r2_large_p00,2,large,deepseek-v4-flash,deepseek_official,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59953,1971,59904,15.758122,0.0,25.712996,83f36656eaa58653c2cdb4e08f07a363abffb0366ef6afbe02f4fc9d09e8d986
slot_r2_large_p01,2,large,deepseek-v4-flash,deepseek_official,1,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59968,4374,59904,24.43771,0.0,25.337004,a5a6d974f3721c95f0f7dbea6cdcfabaa740db4c7c23df8c9ac6edc9121fbfb0
