cell,mechanism,training,status,steps,verdict,latest_manifest,copied_files
original_x_original,original,original,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/original_x_original/seed0_1784441252/manifest.json,8
original_x_tser_ppo,original,tser_ppo,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/original_x_tser_ppo/seed0_1784451914/manifest.json,8
original_x_lpg_hrl,original,lpg_hrl,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/original_x_lpg_hrl/seed0_1784448381/manifest.json,11
original_x_lpac,original,lpac,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/original_x_lpac/seed0_1784453656/manifest.json,5
original_x_clpa,original,clpa,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/original_x_clpa/seed0_1784455651/manifest.json,5
soft_copeland_x_original,soft_copeland,original,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/soft_copeland_x_original/seed0_1784462982/manifest.json,29
soft_copeland_x_tser_ppo,soft_copeland,tser_ppo,ALL_ROUNDS_PASS,,ALL_ROUNDS_PASS,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/soft_copeland_x_tser_ppo/manifest.json,21
soft_copeland_x_lpg_hrl,soft_copeland,lpg_hrl,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/soft_copeland_x_lpg_hrl/seed0_1784457576/manifest.json,24
soft_copeland_x_lpac,soft_copeland,lpac,ALL_ROUNDS_PASS,,ALL_ROUNDS_PASS,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/soft_copeland_x_lpac/manifest.json,21
soft_copeland_x_clpa,soft_copeland,clpa,ALL_ROUNDS_PASS,,ALL_ROUNDS_PASS,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/soft_copeland_x_clpa/manifest.json,33
budgeted_soft_copeland_x_original,budgeted_soft_copeland,original,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/budgeted_soft_copeland_x_original/seed0_1784462982/manifest.json,29
budgeted_soft_copeland_x_tser_ppo,budgeted_soft_copeland,tser_ppo,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/budgeted_soft_copeland_x_tser_ppo/seed0_1784572014/manifest.json,21
budgeted_soft_copeland_x_lpg_hrl,budgeted_soft_copeland,lpg_hrl,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/budgeted_soft_copeland_x_lpg_hrl/seed0_1784524657/manifest.json,21
budgeted_soft_copeland_x_lpac,budgeted_soft_copeland,lpac,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/budgeted_soft_copeland_x_lpac/seed0_1784572014/manifest.json,21
budgeted_soft_copeland_x_clpa,budgeted_soft_copeland,clpa,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/budgeted_soft_copeland_x_clpa/seed0_1784526008/manifest.json,21
auction_raw_x_original,auction_raw,original,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_raw_x_original/seed0_1784462982/manifest.json,29
auction_raw_x_tser_ppo,auction_raw,tser_ppo,ALL_ROUNDS_PASS,,ALL_ROUNDS_PASS,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_raw_x_tser_ppo/seed0_1784529589.d067_chat_archive/manifest.json,21
auction_raw_x_lpg_hrl,auction_raw,lpg_hrl,ALL_ROUNDS_PASS,,ALL_ROUNDS_PASS,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_raw_x_lpg_hrl/seed0_1784517797.d067_chat_archive/manifest.json,22
auction_raw_x_lpac,auction_raw,lpac,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_raw_x_lpac/seed0_1784524793/manifest.json,24
auction_raw_x_clpa,auction_raw,clpa,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_raw_x_clpa/seed0_1784601734/manifest.json,28
auction_budgeted_x_original,auction_budgeted,original,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_budgeted_x_original/seed0_1784548257/manifest.json,21
auction_budgeted_x_tser_ppo,auction_budgeted,tser_ppo,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_budgeted_x_tser_ppo/seed0_1784629279/manifest.json,34
auction_budgeted_x_lpg_hrl,auction_budgeted,lpg_hrl,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_budgeted_x_lpg_hrl/seed0_1784566018/manifest.json,21
auction_budgeted_x_lpac,auction_budgeted,lpac,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_budgeted_x_lpac/seed0_1784565782/manifest.json,24
auction_budgeted_x_clpa,auction_budgeted,clpa,COMPLETED,98304,COMPLETED,/home/oseasy/experiments/mechanism_UED_continuation_20260715/shared_r0/runs/d052_dynamic/auction_budgeted_x_clpa/seed0_1784543391/manifest.json,24
