session,component,duration
1,Training,538.0470893383026
2,Training,533.4405403137207
1,Evolution (LLM),1320.032175540924
1,Compilation (LLM),76.79102849960327
3,Training,822.8505022525787
3,Evolution (LLM),1620.7375659942627
4,Training,805.2843754291534
3,Compilation (LLM),65.79742908477783
5,Training,736.9847536087036
5,Evolution (LLM),1365.4145596027374
5,Compilation (LLM),53.15585017204285
6,Training,821.0997281074524
7,Training,810.6480665206909
7,Evolution (LLM),1293.2432403564453
7,Compilation (LLM),66.63684272766113
8,Training,780.8017065525055
9,Training,717.0525131225586
9,Evolution (LLM),1415.6995830535889
10,Training,730.4626529216766
9,Compilation (LLM),66.04202914237976
11,Training,848.194849729538
11,Evolution (LLM),1350.7868666648865
11,Compilation (LLM),69.26115727424622
12,Training,654.1585025787354
13,Training,627.369868516922
13,Evolution (LLM),1323.6103420257568
14,Training,696.9753413200378
13,Compilation (LLM),47.992103576660156
15,Training,717.001718044281
16,Training,816.4529123306274
15,Evolution (LLM),1580.951339483261
15,Compilation (LLM),57.984132289886475
17,Training,722.8901610374451
18,Training,773.271858215332
17,Evolution (LLM),1531.3963332176208
17,Compilation (LLM),62.241355419158936
19,Training,784.3155188560486
20,Training,695.0026454925537
19,Evolution (LLM),1518.0793178081512
19,Compilation (LLM),55.83953404426575
21,Training,745.6288325786591
22,Training,699.4803237915039
21,Evolution (LLM),1728.1106340885162
21,Compilation (LLM),57.77129554748535
23,Training,790.1011610031128
23,Evolution (LLM),1417.8208174705505
23,Compilation (LLM),65.31567072868347
24,Training,732.328943490982
25,Training,700.0348427295685
26,Training,899.7320339679718
25,Evolution (LLM),1650.8999092578888
25,Compilation (LLM),61.233625411987305
27,Training,748.1382405757904
28,Training,698.9024620056152
27,Evolution (LLM),1843.625191450119
27,Compilation (LLM),66.62668251991272
29,Training,711.7150576114655
30,Training,732.076681137085
29,Evolution (LLM),1946.8370449543
29,Compilation (LLM),53.67941689491272
31,Training,756.9651498794556
31,Evolution (LLM),1365.4595398902893
31,Compilation (LLM),56.79089951515198
32,Training,811.5320153236389
33,Training,639.6581907272339
33,Evolution (LLM),1417.5150754451752
33,Compilation (LLM),68.97750687599182
34,Training,845.327889919281
35,Training,909.9548878669739
35,Evolution (LLM),1207.8948528766632
35,Compilation (LLM),57.52546143531799
36,Training,751.7527525424957
37,Training,722.698652267456
38,Training,783.3154308795929
37,Evolution (LLM),1568.9749927520752
37,Compilation (LLM),68.90098595619202
39,Training,795.1253931522369
39,Evolution (LLM),1373.6194732189178
39,Compilation (LLM),67.10933113098145
40,Training,740.9321267604828
41,Training,706.207352399826
41,Evolution (LLM),1311.3514950275421
41,Compilation (LLM),63.02231311798096
42,Training,821.9664108753204
43,Training,810.0341470241547
44,Training,611.3624887466431
43,Evolution (LLM),1630.913319349289
43,Compilation (LLM),50.24046325683594
45,Training,774.4175674915314
46,Training,794.9891016483307
45,Evolution (LLM),1599.509434223175
45,Compilation (LLM),56.99404859542847
47,Training,810.9261791706085
48,Training,680.2059452533722
47,Evolution (LLM),1668.8470313549042
47,Compilation (LLM),52.86829090118408
49,Training,791.529848575592
50,Training,736.6983852386475
49,Evolution (LLM),1841.8564097881317
49,Compilation (LLM),51.5359570980072
51,Training,784.3268685340881
