task_id,anon,tier,B_prog,C_prog,d_prog,B_crit,C_crit,d_crit,B_nov,C_nov,d_nov,B_dec_t,C_dec_t,B_dec_c,C_dec_c,B_dec_e,C_dec_e,in_B_sel8,in_C_sel8
d052_r3_0000,C001,easy,8.5,2.0,-6.5,0.4,0.9,0.5,7.5,7.5,0.0,accept,hold,hold,reject,accept,accept,True,True
d052_r3_0001,C002,easy,7.0,1.0,-6.0,0.9,0.95,0.05,7.0,7.0,0.0,hold,reject,reject,reject,accept,accept,False,False
d052_r3_0002,C003,easy,6.5,1.5,-5.0,0.5,0.3,-0.2,7.0,6.5,-0.5,hold,reject,hold,accept,accept,accept,False,False
d052_r3_0003,C004,easy,7.5,3.0,-4.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,hold,reject,reject,accept,accept,False,True
d052_r3_0004,C005,easy,5.0,1.0,-4.0,0.8,0.95,0.15,7.0,7.0,0.0,reject,reject,reject,reject,accept,accept,False,False
d052_r3_0005,C006,easy,6.0,2.5,-3.5,0.2,0.85,0.65,7.0,6.5,-0.5,hold,hold,accept,reject,accept,accept,False,False
d052_r3_0006,C007,medium,9.0,1.0,-8.0,1.0,1.0,0.0,8.0,6.5,-1.5,accept,reject,reject,reject,accept,accept,True,False
d052_r3_0007,C008,easy,5.5,1.0,-4.5,0.1,0.2,0.1,7.5,7.0,-0.5,reject,reject,accept,accept,accept,accept,True,False
d052_r3_0008,C009,medium,8.0,1.0,-7.0,0.9,0.95,0.05,7.0,6.5,-0.5,accept,reject,reject,reject,accept,accept,False,False
d052_r3_0009,C010,easy,6.0,1.5,-4.5,0.7,0.15,-0.55,7.0,6.5,-0.5,hold,reject,reject,accept,accept,accept,False,False
d052_r3_0010,C011,easy,7.5,2.0,-5.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,hold,reject,reject,accept,accept,False,True
d052_r3_0011,C012,easy,7.0,1.0,-6.0,0.2,0.8,0.6,7.0,7.0,0.0,hold,reject,accept,reject,accept,accept,True,False
d052_r3_0012,C013,easy,6.5,2.5,-4.0,0.7,0.95,0.25,7.0,6.5,-0.5,hold,hold,reject,reject,accept,accept,False,False
d052_r3_0013,C014,easy,7.0,1.0,-6.0,1.0,1.0,0.0,7.0,6.5,-0.5,hold,reject,reject,reject,accept,accept,False,False
d052_r3_0014,C015,easy,5.5,1.0,-4.5,0.0,0.1,0.1,7.5,7.0,-0.5,reject,reject,accept,accept,accept,accept,True,True
d052_r3_0015,C016,easy,7.5,1.0,-6.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,reject,reject,reject,accept,accept,False,False
d052_r3_0016,C017,easy,6.0,1.5,-4.5,0.5,0.25,-0.25,7.0,6.5,-0.5,hold,reject,hold,accept,accept,accept,False,False
d052_r3_0017,C018,easy,7.5,2.0,-5.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,hold,reject,reject,accept,accept,False,True
d052_r3_0018,C019,easy,6.0,1.0,-5.0,0.1,0.25,0.15,7.0,7.0,0.0,hold,reject,accept,accept,accept,accept,False,False
d052_r3_0019,C020,easy,6.5,2.5,-4.0,0.3,0.85,0.55,7.0,6.5,-0.5,hold,hold,accept,reject,accept,accept,False,False
d052_r3_0020,C021,easy,8.5,1.0,-7.5,1.0,0.95,-0.05,7.0,6.5,-0.5,accept,reject,reject,reject,accept,accept,False,False
d052_r3_0021,C022,easy,6.0,1.0,-5.0,0.6,0.85,0.25,7.0,7.0,0.0,hold,reject,reject,reject,accept,accept,False,False
d052_r3_0022,C023,easy,8.5,1.0,-7.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,reject,reject,reject,accept,accept,True,False
d052_r3_0023,C024,easy,6.5,1.5,-5.0,0.5,0.3,-0.2,7.0,6.5,-0.5,hold,reject,hold,accept,accept,accept,False,False
d052_r3_0024,C025,easy,7.5,2.0,-5.5,0.9,0.9,0.0,7.0,7.0,0.0,accept,hold,reject,reject,accept,accept,False,True
d052_r3_0025,C026,easy,6.5,1.0,-5.5,0.0,0.15,0.15,7.0,7.0,0.0,hold,reject,accept,accept,accept,accept,True,True
d052_r3_0026,C027,easy,6.0,2.5,-3.5,0.2,0.85,0.65,7.0,6.5,-0.5,hold,hold,accept,reject,accept,accept,False,False
d052_r3_0027,C028,easy,7.0,1.0,-6.0,1.0,1.0,0.0,7.0,6.5,-0.5,hold,reject,reject,reject,accept,accept,False,False
d052_r3_0028,C029,easy,5.5,1.0,-4.5,0.1,0.2,0.1,7.5,7.0,-0.5,reject,reject,accept,accept,accept,accept,True,True
d052_r3_0029,C030,easy,7.0,1.0,-6.0,0.9,0.9,0.0,7.0,6.5,-0.5,hold,reject,reject,reject,accept,accept,False,False
d052_r3_0030,C031,easy,6.0,1.5,-4.5,0.4,0.2,-0.2,7.0,6.5,-0.5,hold,reject,hold,accept,accept,accept,False,False
d052_r3_0031,C032,easy,8.0,3.0,-5.0,0.9,1.0,0.1,7.0,7.0,0.0,accept,hold,reject,reject,accept,accept,False,False
