task_id,anon,tier,B_score,C_score,B_rank,C_rank,rank_delta,in_B_sel8,in_C_sel8
d052_r3_0000,C001,easy,1.0,1.0,1,1,0,True,True
d052_r3_0014,C015,easy,0.654,0.8946,2,3,-1,True,True
d052_r3_0006,C007,medium,0.654,0.0,3,30,-27,True,False
d052_r3_0007,C008,easy,0.606,0.8142,4,8,-4,True,False
d052_r3_0028,C029,easy,0.606,0.8142,5,9,-4,True,True
d052_r3_0025,C026,easy,0.567,0.8644,6,4,2,True,True
d052_r3_0011,C012,easy,0.5574,0.6937,7,17,-10,True,False
d052_r3_0022,C023,easy,0.4517,0.523,8,23,-15,True,False
d052_r3_0019,C020,easy,0.4228,0.733,9,15,-6,False,False
d052_r3_0018,C019,easy,0.4036,0.764,10,11,-1,False,False
d052_r3_0031,C032,easy,0.4036,0.754,11,12,-1,False,False
d052_r3_0008,C009,medium,0.4036,0.0904,12,28,-16,False,False
d052_r3_0002,C003,easy,0.346,0.6426,13,21,-8,False,False
d052_r3_0005,C006,easy,0.346,0.733,14,14,0,False,False
d052_r3_0023,C024,easy,0.346,0.6426,15,20,-5,False,False
d052_r3_0026,C027,easy,0.346,0.733,16,16,0,False,False
d052_r3_0010,C011,easy,0.3363,0.8343,17,5,12,False,True
d052_r3_0015,C016,easy,0.3363,0.523,18,22,-4,False,False
d052_r3_0017,C018,easy,0.3363,0.8343,19,6,13,False,True
d052_r3_0024,C025,easy,0.3363,0.8343,20,7,13,False,True
d052_r3_0003,C004,easy,0.3363,0.9749,21,2,19,False,True
d052_r3_0020,C021,easy,0.3171,0.0904,22,29,-7,False,False
d052_r3_0012,C013,easy,0.2787,0.482,23,24,-1,False,False
d052_r3_0030,C031,easy,0.2787,0.733,24,13,11,False,False
d052_r3_0029,C030,easy,0.2402,0.2209,25,27,-2,False,False
d052_r3_0001,C002,easy,0.2402,0.3925,26,25,1,False,False
d052_r3_0016,C017,easy,0.2306,0.6828,27,18,9,False,False
d052_r3_0021,C022,easy,0.1922,0.6435,28,19,9,False,False
d052_r3_0009,C010,easy,0.1634,0.7832,29,10,19,False,False
d052_r3_0013,C014,easy,0.1057,0.0,30,31,-1,False,False
d052_r3_0027,C028,easy,0.1057,0.0,31,32,-1,False,False
d052_r3_0004,C005,easy,0.0,0.3925,32,26,6,False,False
