task_id,old_prog,new_prog,d_prog,old_crit,new_crit,d_crit,old_nov,new_nov,d_nov,in_old_sel8,in_new_sel8
d052_r3_0000,4.12,8.5,4.38,0.99,0.9,-0.09,0.65,7.5,6.85,False,True
d052_r3_0001,8.45,7.0,-1.45,0.92,0.1,-0.82,0.75,7.0,6.25,False,True
d052_r3_0002,0.85,6.5,5.65,0.85,0.8,-0.05,6.5,7.0,0.5,False,False
d052_r3_0003,4.25,7.5,3.25,0.9,0.85,-0.05,7.5,7.0,-0.5,False,False
d052_r3_0004,4.85,6.0,1.15,0.95,0.75,-0.2,0.75,7.0,6.25,False,False
d052_r3_0005,8.75,5.5,-3.25,0.85,0.85,0.0,6.5,7.0,0.5,True,False
d052_r3_0006,4.12,4.0,-0.12,0.99,0.95,-0.04,7.5,6.5,-1.0,False,False
d052_r3_0007,8.65,8.0,-0.65,0.99,0.35,-0.64,0.5,7.0,6.5,False,True
d052_r3_0008,4.75,8.5,3.75,0.0,0.95,0.95,7.5,6.5,-1.0,True,False
d052_r3_0009,4.67,6.0,1.33,0.98,0.8,-0.18,0.65,7.0,6.35,False,False
d052_r3_0010,0.85,7.0,6.15,0.95,0.85,-0.1,0.0,7.0,7.0,False,False
d052_r3_0011,4.85,7.5,2.65,0.85,0.6,-0.25,0.0,7.0,7.0,False,True
d052_r3_0012,8.75,5.0,-3.75,0.95,0.9,-0.05,5.5,7.0,1.5,True,False
d052_r3_0013,4.67,5.5,0.83,0.95,0.9,-0.05,0.75,6.5,5.75,False,False
d052_r3_0014,8.75,8.0,-0.75,0.99,0.05,-0.94,0.0,7.0,7.0,False,True
d052_r3_0015,4.85,7.0,2.15,0.95,0.75,-0.2,0.75,7.0,6.25,False,False
d052_r3_0016,8.45,6.5,-1.95,0.85,0.8,-0.05,0.75,7.0,6.25,True,False
d052_r3_0017,4.25,7.0,2.75,0.85,0.85,0.0,0.85,7.0,6.15,False,False
d052_r3_0018,4.67,6.0,1.33,0.85,0.05,-0.8,0.65,7.0,6.35,False,False
d052_r3_0019,4.25,5.0,0.75,0.99,0.85,-0.14,7.5,7.0,-0.5,False,False
d052_r3_0020,4.25,6.5,2.25,0.85,0.9,0.05,0.75,6.5,5.75,False,False
d052_r3_0021,0.85,7.5,6.65,0.85,0.8,-0.05,3.5,7.0,3.5,False,False
d052_r3_0022,4.85,8.0,3.15,0.85,0.5,-0.35,6.5,7.0,0.5,True,True
d052_r3_0023,4.25,6.5,2.25,0.85,0.8,-0.05,0.65,7.0,6.35,False,False
d052_r3_0024,8.65,7.0,-1.65,0.65,0.85,0.2,0.0,7.0,7.0,True,False
d052_r3_0025,4.85,7.5,2.65,0.85,0.2,-0.65,0.65,7.0,6.35,False,True
d052_r3_0026,4.85,5.0,0.15,0.85,0.85,0.0,6.5,7.0,0.5,True,False
d052_r3_0027,8.65,4.0,-4.65,0.85,0.9,0.05,7.5,6.5,-1.0,True,False
d052_r3_0028,4.85,8.0,3.15,0.99,0.3,-0.69,5.5,7.0,1.5,False,True
d052_r3_0029,8.75,7.0,-1.75,0.85,0.9,0.05,0.0,7.0,7.0,False,False
d052_r3_0030,0.85,6.0,5.15,0.85,0.8,-0.05,0.0,7.0,7.0,False,False
d052_r3_0031,8.65,7.5,-1.15,0.995,0.95,-0.045,0.0,7.0,7.0,False,False
