task_id,tier,old_score,new_score,old_rank,new_rank,rank_delta,in_old_sel8,in_new_sel8
d052_r3_0027,easy,1.0,0.0638,1,31,-30,True,False
d052_r3_0005,easy,0.994,0.4401,2,24,-22,True,False
d052_r3_0008,medium,0.9592,0.4253,3,25,-22,True,False
d052_r3_0022,easy,0.8062,0.9362,4,5,-1,True,True
d052_r3_0026,easy,0.8062,0.4046,5,27,-22,True,False
d052_r3_0012,easy,0.7505,0.3125,6,28,-22,True,False
d052_r3_0016,easy,0.737,0.6314,7,15,-8,True,False
d052_r3_0024,easy,0.7185,0.6102,8,19,-11,True,False
d052_r3_0029,easy,0.6532,0.518,9,23,-14,False,False
d052_r3_0001,easy,0.5901,0.8582,10,7,3,False,True
d052_r3_0003,easy,0.5836,0.6881,11,12,-1,False,False
d052_r3_0025,easy,0.5764,0.9362,12,4,8,False,True
d052_r3_0017,easy,0.5557,0.6102,13,18,-5,False,False
d052_r3_0002,easy,0.5367,0.6314,14,14,0,False,False
d052_r3_0020,easy,0.5002,0.2339,15,29,-14,False,False
d052_r3_0018,easy,0.4784,0.7307,16,11,5,False,False
d052_r3_0004,easy,0.4676,0.6314,17,13,4,False,False
d052_r3_0015,easy,0.4676,0.759,18,10,8,False,False
d052_r3_0021,easy,0.4654,0.7803,19,9,10,False,False
d052_r3_0011,easy,0.4654,0.8582,20,8,12,False,True
d052_r3_0028,easy,0.4565,0.9646,21,2,19,False,True
d052_r3_0023,easy,0.4131,0.6314,22,16,6,False,False
d052_r3_0019,easy,0.4121,0.4046,23,26,-3,False,False
d052_r3_0013,easy,0.3696,0.1347,24,30,-6,False,False
d052_r3_0006,medium,0.3549,0.0,25,32,-7,False,False
d052_r3_0014,easy,0.3511,1.0,26,1,25,False,True
d052_r3_0007,easy,0.3492,0.9504,27,3,24,False,True
d052_r3_0009,easy,0.2334,0.5747,28,21,7,False,False
d052_r3_0031,easy,0.2286,0.5322,29,22,7,False,False
d052_r3_0030,easy,0.196,0.5747,30,20,10,False,False
d052_r3_0000,easy,0.0538,0.8881,31,6,25,False,True
d052_r3_0010,easy,0.0,0.6102,32,17,15,False,False
